id;name;type;mttf;eff;aquisitionCost
1;Server01;Server;1385.917548350867;77.34263994690626;2864.7706819405153
2;Server02;Server;1676.6851145347769;81.22291055575235;3734.9318322669556
3;Server03;Server;994.2410846786329;93.22099409959291;3197.6240840231
4;Server04;Server;1508.3296874050561;99.999;3567.6721040703655
5;Server05;Server;828.7250243672066;91.26411951602813;2301.0048092965485
6;Server06;Server;2083.125023392171;93.5606184126385;3215.3417245158807
7;Server07;Server;1127.4583440179135;79.38448688009505;2696.6120836520454
8;Server08;Server;1790.672863394519;88.06356637284907;3600.740189854485
9;Server09;Server;781.9589279953591;83.37218743742423;3402.1169048253983
10;Server010;Server;1118.4010491414533;93.46545802787331;2336.513856622161
1;Router01;Router;14860.381757734496;78.9696187033183;3380.5387863690685
2;Router02;Router;14881.313589513016;85.812064960193;4410.559901755609
3;Router03;Router;17195.676633005387;97.8466412525946;4782.471376662314
4;Router04;Router;14788.420878081086;99.999;3170.309052831191
5;Router05;Router;17552.309050214084;86.01754667534841;3223.862472745353
6;Router06;Router;15363.676408199746;99.999;4106.797683446723
7;Router07;Router;17215.85175484488;97.78969113172988;4317.189075124064
8;Router08;Router;12684.516135495483;89.22966866231737;3919.697644650147
9;Router09;Router;16481.171539060855;96.56684100752537;4975.490752231155
10;Router010;Router;7943.14947127198;81.31488749767762;3441.3087329974655
1;Switch01;Switch;5139.048590168692;89.37522507419655;327.0077249849889
2;Switch02;Switch;9557.166256723918;93.16560844964236;386.16875490132793
3;Switch03;Switch;9934.830018297052;82.06821356454554;328.91485160882365
4;Switch04;Switch;10974.581578181414;92.36857029613364;463.37562637003873
5;Switch05;Switch;9763.906330362655;99.999;430.5247306839004
6;Switch06;Switch;9644.507889856142;97.13793171276096;300.59766784801894
7;Switch07;Switch;7010.261339845834;85.8638634212828;358.1585377442087
8;Switch08;Switch;6539.020123499682;77.93321600505314;351.1222677706223
9;Switch09;Switch;9551.886277621668;76.74299109544746;335.17084708167806
10;Switch010;Switch;9312.360153314625;81.82233278997735;406.8442511013064
1;CRAC01;CRAC;30616.25443672415;85.47913930048236;2921.596980617771
2;CRAC02;CRAC;28840.2052744024;94.15478999349723;2444.6752580774655
3;CRAC03;CRAC;25737.874952988557;85.31654687623367;2790.6851187768675
4;CRAC04;CRAC;25813.317173227413;95.75444105042563;3982.7396547087324
5;CRAC05;CRAC;29797.69465061497;99.999;2773.713193450638
6;CRAC06;CRAC;47552.367910125686;99.999;2725.9499490547687
7;CRAC07;CRAC;55654.19522698829;83.95012021292689;3448.6391241029
8;CRAC08;CRAC;21692.511328109274;95.23605689862997;3317.0762443964218
9;CRAC09;CRAC;31078.556341047486;83.99907421501673;2733.9288381056963
10;CRAC010;CRAC;39204.20455766404;88.74474266616468;3091.5807488030623
1;Chiller01;Chiller;10621.39307241503;4.037669190725751;5620.009119902513
2;Chiller02;Chiller;24829.274735088627;3.864380319588153;5739.0732746422655
3;Chiller03;Chiller;24126.06091097519;4.064150337964937;6374.870774159674
4;Chiller04;Chiller;21348.344287502023;3.9803069289257866;4501.971914886086
5;Chiller05;Chiller;23212.67814453882;3.918207044527249;5414.733668912829
6;Chiller06;Chiller;19095.548095137783;4.139088274497007;5321.188622638776
7;Chiller07;Chiller;25454.582945042443;4.247144427710953;5874.680856919529
8;Chiller08;Chiller;19019.365325860916;4.241519569590294;5218.941473612827
9;Chiller09;Chiller;21836.02953964159;4.533264046796651;4774.578911274453
10;Chiller010;Chiller;23306.512301405197;4.4792338739329844;6133.1456309024
1;C_Tower01;C_Tower;31923.659221201688;99.999;1137.0289692701647
2;C_Tower02;C_Tower;31133.378802194537;99.999;1168.2807934767648
3;C_Tower03;C_Tower;31520.540085572975;86.25315076207357;1204.4448299891649
4;C_Tower04;C_Tower;28285.605476474113;84.87165004546368;1662.8994839284524
5;C_Tower05;C_Tower;23733.056663216877;99.999;1569.576371299706
6;C_Tower06;C_Tower;33483.19538399909;90.61608219999263;1150.4893944391986
7;C_Tower07;C_Tower;13622.985029107147;96.60800788502226;1648.5198833039656
8;C_Tower08;C_Tower;24905.08531518193;96.21183045488746;1361.172596511393
9;C_Tower09;C_Tower;21102.077695557273;92.13308056473134;1198.3135186241907
10;C_Tower010;C_Tower;25271.93455778143;89.15841569124362;1324.7331566835824
