id;name;type;mttf;eff;aquisitionCost
1;UPS_5kVA1;UPS_5kVA;37565.85825489077;99.8656060791962;17389.72582329639
2;UPS_5kVA2;UPS_5kVA;52877.11492149917;94.63443345261993;17832.514668940068
3;UPS_5kVA3;UPS_5kVA;65320.08666370827;97.71765970419149;14950.130664980048
1;UPS_250kVA1;UPS_250kVA;60184.03965672302;93.60782900804007;14202.863355849975
2;UPS_250kVA2;UPS_250kVA;32229.753864755716;97.04104963763012;16142.225151207134
3;UPS_250kVA3;UPS_250kVA;43057.959984531095;98.11236298463935;13235.827776899137
1;SDTransformer1;SDTransformer;213801.15887787053;97.03321920694543;444.15556822347605
2;SDTransformer2;SDTransformer;389096.6950997999;97.74862079698326;437.0273887866955
3;SDTransformer3;SDTransformer;305332.20826407283;97.69068046619763;468.33177603922456
1;Subpanel1;Subpanel;437381.3095255759;96.67333539799466;186.57864265546297
2;Subpanel2;Subpanel;313372.9582463354;95.44990052132967;232.3926593906041
3;Subpanel3;Subpanel;267615.64154141967;97.9814352129976;169.81521203921153
1;PowerStrip1;PowerStrip;241763.0088401963;98.45378652992802;228.86826308006783
2;PowerStrip2;PowerStrip;293427.9757420543;97.41635967303004;169.4967482067676
3;PowerStrip3;PowerStrip;156043.2200465665;95.38070938633321;181.7219278151466
1;STS1;STS;60623.76542576217;96.64344933649471;820.1183005864776
2;STS2;STS;54656.77106006003;97.64413135330403;718.5407679759326
3;STS3;STS;30421.5920251252;95.25347449427215;696.4017923318346
1;GeneratorGroup1;GeneratorGroup;2077.0747108784617;47456.07750595035;24.477879132734998
2;GeneratorGroup2;GeneratorGroup;2117.6867961793914;72854.29351523776;24.785491789811957
3;GeneratorGroup3;GeneratorGroup;1277.2477648258157;72950.09434550151;24.374826565245286
