id;name;type;mttf;eff;aquisitionCost
1;Server01;Server;1551.2068264087275;96.08498086691102;2649.788209899112
2;Server02;Server;969.30593283488;94.46782533844762;2290.1404609989345
3;Server03;Server;879.3200566339382;79.19485254952657;2927.7347500751625
4;Server04;Server;1456.7132387193592;81.91047036797;2664.939705298647
5;Server05;Server;998.4140055218434;99.999;3601.639752731197
1;Router01;Router;11934.138867216405;84.29686136630778;3165.8401162101613
2;Router02;Router;9105.037651307388;90.25553280592507;3799.3774101826143
3;Router03;Router;10655.369892155635;79.36947187334505;4357.396132523118
4;Router04;Router;11193.953959501598;80.4540544881256;4393.5197410712135
5;Router05;Router;13215.831077105591;98.81740526087188;4229.99644508052
1;Switch01;Switch;5826.598350884796;79.38248521467271;420.0150282307102
2;Switch02;Switch;6326.410191411946;91.83846913231477;312.4571671630298
3;Switch03;Switch;9220.537121134304;96.98733606756674;320.37456702619306
4;Switch04;Switch;13159.479202932045;83.97219763305276;435.4858630505515
5;Switch05;Switch;11126.884977313151;99.999;494.03768999224053
1;CRAC01;CRAC;28444.04262715706;93.68132955228313;2769.6566662879945
2;CRAC02;CRAC;39634.29959935254;99.999;3137.936024688011
3;CRAC03;CRAC;39498.01402684785;85.56909059393966;3878.8107666579026
4;CRAC04;CRAC;26022.579345789592;99.999;3399.1374242048514
5;CRAC05;CRAC;51781.7609567035;99.999;3060.571077492339
1;Chiller01;Chiller;24094.960604428423;3.884134809492404;6153.580111574749
2;Chiller02;Chiller;26885.587488902067;3.7579088653564945;6441.376940102818
3;Chiller03;Chiller;16687.51319394228;3.419112156137704;5810.831920310564
4;Chiller04;Chiller;18273.93726760588;4.2338455670666395;5659.669218504551
5;Chiller05;Chiller;10932.33382280562;3.975230317151502;6212.152205618033
1;C_Tower01;C_Tower_C;29622.04162819893;93.6814348970342;1672.8886732885496
2;C_Tower02;C_Tower_C;19670.477331128106;90.48654049829118;1471.0843011887046
3;C_Tower03;C_Tower_C;35413.818748664446;96.9400902078713;1671.7666509745582
4;C_Tower04;C_Tower_C;21135.799637942953;93.83036984945304;1724.0779051844565
5;C_Tower05;C_Tower_C;23794.289478349383;99.999;1387.120153617629
1;UPS_5kVA1;UPS_5kVA;71135.3409747809;99.4416885177006;12947.971439348097
2;UPS_5kVA2;UPS_5kVA;49987.81237561228;91.45402902567551;14923.248336322195
3;UPS_5kVA3;UPS_5kVA;39287.061213327455;93.81770070323792;12174.697605107473
4;UPS_5kVA4;UPS_5kVA;67259.77446122345;99.59093342772722;14492.521284178907
5;UPS_5kVA5;UPS_5kVA;49618.82851576085;96.20645351137883;15825.357688116444
1;UPS_250kVA1;UPS_250kVA;69984.99259293798;99.43379517281303;12000.109484921833
2;UPS_250kVA2;UPS_250kVA;43861.448858195006;96.45867718903136;18031.846144231677
3;UPS_250kVA3;UPS_250kVA;72310.80883230144;97.83229260824261;14082.494382315213
4;UPS_250kVA4;UPS_250kVA;63336.8005143526;98.44860611774132;15996.61474281867
5;UPS_250kVA5;UPS_250kVA;36589.25905430285;92.33303548667779;13951.207642833964
1;SDTransformer1;SDTransformer;326292.93916162895;96.90130714493972;507.6379010353964
2;SDTransformer2;SDTransformer;161776.96269097173;97.25129892476384;676.8934673768129
3;SDTransformer3;SDTransformer;367288.2035637577;97.86255800277527;461.67196812430564
4;SDTransformer4;SDTransformer;330445.85166567337;95.94236753334205;497.73623159629676
5;SDTransformer5;SDTransformer;354466.1688476044;98.1069353618438;489.25587936985704
1;Subpanel1;Subpanel;338173.87626545;98.96557172547833;196.62469749346278
2;Subpanel2;Subpanel;208958.2455923529;99.19805129140461;181.92104924791687
3;Subpanel3;Subpanel;187624.9180133642;97.23708516411125;222.9088827954231
4;Subpanel4;Subpanel;339656.6172882341;98.34248804055817;214.8601891802325
5;Subpanel5;Subpanel;203827.9287886753;97.08528556788171;219.66799758180954
1;PowerStrip1;PowerStrip;196728.1373976037;95.46784585839384;207.01859817673997
2;PowerStrip2;PowerStrip;295986.8408479203;96.30182380775565;166.2276664891696
3;PowerStrip3;PowerStrip;288245.6582372707;97.72124188309412;243.39526332100985
4;PowerStrip4;PowerStrip;141075.8711999212;99.7606614211882;174.1642985087741
5;PowerStrip5;PowerStrip;209341.59636864142;97.5492313183926;249.22085414544213
1;STS1;STS;66580.83488681685;97.51044826231313;616.4994686395513
2;STS2;STS;26267.596683293552;99.7283909526953;972.6714002917308
3;STS3;STS;51883.847376426784;99.29204735527388;966.5507751505918
4;STS4;STS;52021.86081339902;96.99159620542173;617.0008735306933
5;STS5;STS;35987.06334384812;96.49320057288894;787.8410126550693
1;ATS1;ATS;701429.8095009283;96.11706703622454;750.6673112652811
2;ATS2;ATS;546192.4355352086;97.26018812719363;992.6062789433348
3;ATS3;ATS;568612.0921466987;98.97115136132494;774.0306805039673
4;ATS4;ATS;477255.4828600213;99.39288020302364;929.2344359957287
5;ATS5;ATS;531078.0786632514;95.74887537357077;908.5447994905824
1;ACSource1;ACSource;5030.254120221214;16162.682335095114;95.17563279777266
2;ACSource2;ACSource;4360.404371363686;18385.573359956095;99.44939214553095
3;ACSource3;ACSource;3572.505343924042;16213.038265674611;95.20522627009352
4;ACSource4;ACSource;5961.1486434205035;18649.83253986754;95.46857583552666
5;ACSource5;ACSource;2870.6612398053812;13317.800484503845;90.62282053505275
1;GeneratorGroup1;GeneratorGroup;2081.214413384325;55266.36888336947;24.201925590812458
2;GeneratorGroup2;GeneratorGroup;1517.8852413008362;48021.736217876176;26.05074809611
3;GeneratorGroup3;GeneratorGroup;1625.5100692373157;59761.65891250732;23.99703091994223
4;GeneratorGroup4;GeneratorGroup;2964.5899287892184;48681.48954012002;25.64623201799846
5;GeneratorGroup5;GeneratorGroup;3205.6023152228704;72879.09647118994;25.07970393056108
